title,labels,body
"[MED] Dual cart mental model not visible to users","priority:medium,type:ux,source:backlog","No header badge for each cart, no explanation of two checkout flows. Users don't know which cart they're reviewing on reservation.html.

**Recommendation:** Add visual indicators for both carts and explain the dual-flow concept.

**Ref:** improvements.md M1"
"[MED] Reservation page H1 hidden by JS from page load","priority:medium,type:accessibility,source:backlog","**File:** `reservation.html`

`<h1 style=""visibility:hidden"">` — screen readers encounter hidden heading. Should default to visible and be updated by JS.

**Ref:** improvements.md M2"
"[MED] Hamburger menu has no visual open/close state","priority:medium,type:accessibility,source:backlog","No X icon or animated state change when nav is open. Phone number not visually differentiated from nav links.

**Ref:** improvements.md M3"
"[MED] Carousel dots missing accessible labels + no pause control","priority:medium,type:accessibility,source:backlog","**File:** `index.html`, `js/modules/06-featured.js`

Homepage carousel dot buttons have no aria-label. Auto-advancing content needs pause mechanism (WCAG 2.2.2).

**Ref:** improvements.md M4"
"[MED] Tabs missing full WAI-ARIA pattern","priority:medium,type:accessibility,source:backlog","**File:** `products.html`, `about.html`, `js/modules/10-tabs.js`

No role=tablist/tab/tabpanel, no aria-selected/controls/labelledby, no arrow-key navigation.

**Ref:** improvements.md M5"
"[MED] Google Fonts render-blocking on homepage","priority:medium,type:performance,source:backlog","**File:** `index.html`

Uses blocking font link; `products.html` uses print-media swap trick. Homepage has worse strategy despite being most performance-sensitive.

**Recommendation:** Use the same swap pattern as products.html.

**Ref:** improvements.md M6"
"[MED] Static content JSON has no client-side cache","priority:medium,type:performance,source:backlog","**File:** `js/modules/13-init.js`

`content/shared.json` and `content/{page}.json` fetched on every page load. Could use sessionStorage like the product cache.

**Ref:** improvements.md M7"
"[MED] Cart identity key uses mutable name|brand instead of SKU","priority:medium,type:bug,source:backlog","**File:** `js/modules/11-cart.js`

If product name changes in Zoho, stored cart items become orphaned in localStorage.

**Recommendation:** Use Zoho item_id or SKU as the cart identity key.

**Ref:** improvements.md M8"
"[MED] SW cache version is timestamp not content hash","priority:medium,type:performance,source:backlog","**File:** `sw.js`

Every build busts entire SW cache even if assets unchanged.

**Recommendation:** Use content hash instead of build timestamp.

**Ref:** improvements.md M9"
"[MED] equalizeCardHeights uses JS where CSS Grid suffices","priority:medium,type:cleanup,source:backlog","**File:** `js/modules/05-catalog-view.js`, `css/styles.css`

JS height-equalization loop and resize listener can be replaced with CSS Grid `align-items: stretch`.

**Ref:** improvements.md M10"
"[MED] OpenGraph tags missing on homepage; mismatch on products","priority:medium,type:ux,source:backlog","**File:** `index.html`, `products.html`

Homepage has no og:title/type/image. Products og:url contradicts canonical. Social shares look broken.

**Ref:** improvements.md M11"
"[MED] Fixed bottom bars missing safe-area-inset-bottom","priority:medium,type:ux,source:backlog","**File:** `css/styles.css`, `js/modules/13-init.js`

`#mobile-catalog-bar` sits on iOS home indicator. No `env(safe-area-inset-bottom)`.

**Ref:** improvements.md M12"
"[MED] Cart sidebar qty buttons below 44px touch target","priority:medium,type:accessibility,source:backlog","**File:** `css/styles.css`

`.cart-sidebar-item-controls .qty-btn` overridden to 26x26px. Remove button ~16x16px. Both below WCAG/Apple HIG minimum.

**Ref:** improvements.md M13"
"[MED] No offline fallback UI for products page","priority:medium,type:ux,source:backlog","**File:** `sw.js`, `products.html`

Middleware not cached by SW. Offline = blank catalog with no retry or message.

**Ref:** improvements.md M14"
"[MED] Nav ghost state when cart drawer opens over open nav","priority:medium,type:bug,source:backlog","**File:** `js/modules/11-cart.js`, `js/modules/13-init.js`

If hamburger nav is open and cart drawer opens, `body.nav-open` class is stuck. Fix: call `closeNav()` on cart drawer open.

**Ref:** improvements.md M15"
"[MED] Reservation bar buttons too small at 480px","priority:medium,type:accessibility,source:backlog","**File:** `css/styles.css`

Clear Cart ~24px tall, Checkout ~28px tall at 480px — well below 44px. Highest-traffic touch zone on phone.

**Ref:** improvements.md M16"
"[MED] File-system cache committed to repo","priority:medium,type:infra,source:backlog","**File:** `zoho-middleware/routes/catalog.js`, `.gitignore`

Cache files written to project dir, not /tmp. Can be committed with stale data. Useless on Railway (ephemeral FS).

**Recommendation:** Write cache to /tmp, add cache files to .gitignore.

**Ref:** improvements.md M20"
"[MED] Massively duplicated card-rendering logic","priority:medium,type:cleanup,source:backlog","**File:** `js/modules/04-label-cards.js`, `06-featured.js`, `07-catalog-kits.js`, `11-cart.js`

buildWineCard/buildBeerCard/buildFeaturedWineCard/buildFeaturedBeerCard are near-identical. renderCartSidebar/renderCartDrawer are ~180-line duplicates.

**Recommendation:** Extract shared rendering into helper functions.

**Ref:** improvements.md M23, Code Review #11"
"[MED] Screen reader announcements missing for loading/filter state","priority:medium,type:accessibility,source:backlog","**File:** `js/modules/07-catalog-kits.js`, `js/modules/04-label-cards.js`

Skeleton-to-content transition is silent. Notes toggle `aria-expanded` never set in label card variants.

**Ref:** improvements.md H15"
"[LOW] console.log left in production code","priority:low,type:cleanup,source:code-review","**File:** `js/modules/11-cart.js:161`

`console.log('[Cart] Refreshing...')` fires on every cart change in production browsers.

**Ref:** Code Review #12"
"[LOW] Floating-point edge case in weight controls","priority:low,type:bug,source:code-review","**File:** `js/modules/11-cart.js:373-376`

When `stepVal` is 0.01, repeated multiply/divide accumulates IEEE 754 drift. `toFixed` partially mitigates but working in integer cents/grams internally would be more robust.

**Ref:** Code Review #13"
"[LOW] Double-parse bug in orders/recent","priority:low,type:bug,source:code-review","**File:** `zoho-middleware/routes/pos.js:518`

`cache.get()` already returns parsed JSON, but the code wraps it in `JSON.parse(cached)` again. Will crash at runtime if this cache path is ever hit. Also `cache.set` double-stringifies.

**Recommendation:** Remove the `JSON.parse()` wrapper.

**Ref:** Code Review #14"
"[LOW] Lorem ipsum placeholder copy on About page","priority:low,type:ux,source:backlog","**File:** `about.html`, `content/about.json`

Our Story tab and owner bio cards contain Lorem Ipsum text and 'Owner Name' placeholders — publicly visible, damages brand trust.

**Ref:** improvements.md H1"
"[LOW] Hero subtitle weak value proposition","priority:low,type:ux,source:backlog","**File:** `index.html`, `content/home.json`

'Your brew. Your vintage.' carries no value proposition. Concept not explained until far below fold. Losing new visitors immediately.

**Ref:** improvements.md H5"
"[LOW] Beer banner may contradict live catalog","priority:low,type:ux,source:backlog","Homepage 'Beer Is Coming' banner may coexist with beer kits already in catalog. Audit and add CMS flag for visibility.

**Ref:** improvements.md L1"
"[LOW] Footer hours hard-coded; no 'Open Now' indicator","priority:low,type:ux,source:backlog","Static footer hours on every page; dynamic hours only on About/Contact. No 'Open now' signal for walk-in customers.

**Ref:** improvements.md L2"
"[LOW] OG image is SVG — social previews fail","priority:low,type:ux,source:backlog","og:image references SVG. iMessage, WhatsApp, social platforms don't render SVG previews. Use PNG instead.

**Ref:** improvements.md L3"
"[LOW] Product request form inputs below 16px triggers iOS zoom","priority:low,type:accessibility,source:backlog","**File:** `css/styles.css`

`.product-request-field input/textarea` at 0.95rem triggers iOS Safari auto-zoom on focus.

**Ref:** improvements.md L4"
"[LOW] Global body size limit may block large catalog uploads","priority:low,type:infra,source:backlog","**File:** `zoho-middleware/server.js`

`express.json({ limit: '1mb' })` globally. Large Zoho catalog could exceed 1MB.

**Ref:** improvements.md L7"
"[LOW] Inline styles hardcoded in JS-generated HTML","priority:low,type:cleanup,source:backlog","**File:** `js/modules/04-label-cards.js`

`buildLabelPriceFooter` uses inline `style=""color:#999""` instead of existing CSS classes.

**Ref:** improvements.md L8"
"[SETUP] Sentry: Configure email alert for reservation.html errors","priority:low,type:infra,source:backlog","In Sentry UI → Alerts → Create Alert → Error Alert → filter to `url:*reservation*` → notify via email. Catches silent payment/checkout crashes. No code change needed.

**Ref:** improvements.md MANUAL-1"
"[TEST] Campaign 4: brewpad.js + admin.js pure function extraction","priority:low,type:testing,source:testing-backlog","Extract and test pure functions from:
- `js/brewpad.js` IIFE — ABV calc, date helpers, batch filters
- `js/admin.js` IIFE — reservation status logic

**Ref:** TESTING.md Campaign 4 backlog"
"[TEST] Campaign 5: E2E tests with Playwright against staging","priority:low,type:testing,source:testing-backlog","Set up Playwright E2E test suite running against staging.steinsandvines.ca. Cover critical user paths: browsing catalog, adding to cart, checkout flow.

**Ref:** TESTING.md Campaign 5 backlog"
"[KIOSK] Add KIOSK_CONTACT_ID env var to Railway","priority:medium,type:infra,source:kiosk-setup","In Railway dashboard, add `KIOSK_CONTACT_ID=<zoho_contact_id>`. Create a 'Walk-In Customer' contact in Zoho Inventory and use that ID. Without this, kiosk invoices won't aggregate walk-in sales cleanly.

**Ref:** kiosk-checkout-setup.md Step 1"
"[KIOSK] Verify GP POS terminal + test full sale flow","priority:medium,type:infra,source:kiosk-setup","On-site steps:
1. Confirm GP terminal powered on, network connected, status shows 'Ready' in admin panel
2. Run a complete test transaction (add products → charge → verify receipt)
3. Check Zoho Inventory for new invoice + stock decrements
4. Optionally test void-on-failure by temporarily breaking Zoho URL

**Ref:** kiosk-checkout-setup.md Steps 2-4"
"[KIOSK] Deploy kiosk checkout to production","priority:medium,type:infra,source:kiosk-setup","Once staging tests pass: `git push production main`. Verify kiosk works on production domain.

**Ref:** kiosk-checkout-setup.md Step 5"
